country_code,gdp_data_level,gdp_domain,year,gdp
TGO,national,national,1977,777.212650636677
TGO,national,national,1978,842.402349661254
TGO,national,national,1979,778.697805985064
TGO,national,national,1980,867.453987999739
TGO,national,national,1981,813.046118165912
TGO,national,national,1982,758.250855831716
TGO,national,national,1983,693.197430248275
TGO,national,national,1984,707.57203386595
TGO,national,national,1985,723.385264185823
TGO,national,national,1986,712.728451572789
TGO,national,national,1987,694.906734484293
TGO,national,national,1988,719.001777895741
TGO,national,national,1989,726.293484428614
TGO,national,national,1990,703.623896219833
TGO,national,national,1991,678.869787556389
TGO,national,national,1992,633.668979961274
TGO,national,national,1993,541.357021911529
TGO,national,national,1994,620.182575480635
TGO,national,national,1995,640.349863205312
TGO,national,national,1996,671.504221462105
TGO,national,national,1997,744.126581926862
TGO,national,national,1998,706.68952385752
TGO,national,national,1999,704.043789285316
TGO,national,national,2000,679.533367700848
TGO,national,national,2001,667.298281784325
TGO,national,national,2002,675.440744386282
TGO,national,national,2003,702.799200216835
TGO,national,national,2004,678.287546160331
TGO,national,national,2005,630.248628319525
TGO,national,national,2006,629.079855938738
TGO,national,national,2007,603.837896358253
TGO,national,national,2008,610.405655722251
TGO,national,national,2009,625.711836727455
TGO,national,national,2010,644.563730311597
TGO,national,national,2011,663.963778088896
TGO,national,national,2012,687.495795744285
TGO,national,national,2013,709.092304171157
TGO,national,national,2014,730.291525419946
TGO,national,national,2015,751.052405084336
TGO,national,national,2016,763.276549113054
TGO,national,national,2017,774.276909071917
TGO,national,national,2018,791.59353236921
TGO,national,national,2019,810.514132815471
TGO,national,national,2020,806.956490395231
TGO,national,national,2021,835.199051274184
TGO,national,national,2022,862.763712696128
TGO,national,national,2023,896.874686928368
TGO,national,national,2024,922.096998252583
TGO,national,national,2025,944.970033848373
TGO,national,national,2026,973.026300934945
TGO,national,national,2027,1002.86625418992
TGO,national,national,2028,1033.02431681044
TGO,national,national,2029,1064.08929080543
TGO,national,national,2030,1096.08844669101
THA,national,national,1960,592.465635112506
THA,national,national,1961,606.205592712551
THA,national,national,1962,632.983035716153
THA,national,national,1963,663.55436582592
THA,national,national,1964,688.017307298417
THA,national,national,1965,722.392299176819
THA,national,national,1966,779.304978301365
THA,national,national,1967,822.065821475732
THA,national,national,1968,863.617164738641
THA,national,national,1969,894.636115562961
THA,national,national,1970,969.511716318085
THA,national,national,1971,989.909220029885
THA,national,national,1972,1005.14454673498
THA,national,national,1973,1079.19199094554
THA,national,national,1974,1099.02939594966
THA,national,national,1975,1125.83955126106
THA,national,national,1976,1202.74424654629
THA,national,national,1977,1291.9197681028
THA,national,national,1978,1394.18134022016
THA,national,national,1979,1438.53929504306
THA,national,national,1980,1482.08742004737
THA,national,national,1981,1538.43127414973
THA,national,national,1982,1589.42168596819
THA,national,national,1983,1645.99169094684
THA,national,national,1984,1707.9308019841
THA,national,national,1985,1754.62716249659
THA,national,national,1986,1818.90504659625
THA,national,national,1987,1957.75963674452
THA,national,national,1988,2180.41358654182
THA,national,national,1989,2406.26996824545
THA,national,national,1990,2631.51971095863
THA,national,national,1991,2810.56702001316
THA,national,national,1992,2989.85385369019
THA,national,national,1993,3186.99707103229
THA,national,national,1994,3391.48986604062
THA,national,national,1995,3614.93244016732
THA,national,national,1996,3766.86364433088
THA,national,national,1997,3614.60848543994
THA,national,national,1998,3295.36018381294
THA,national,national,1999,3403.08737356896
THA,national,national,2000,3514.71662970608
THA,national,national,2001,3599.02524877358
THA,national,national,2002,3783.75422073266
THA,national,national,2003,4018.15538187068
THA,national,national,2004,4232.77157261934
THA,national,national,2005,4372.25730206261
THA,national,national,2006,4551.5250018314
THA,national,national,2007,4760.66708464831
THA,national,national,2008,4805.76393990836
THA,national,national,2009,4737.45679763314
THA,national,national,2010,5059.35747831657
THA,national,national,2011,5070.23740191942
THA,national,national,2012,5403.87846036273
THA,national,national,2013,5516.61164164135
THA,national,national,2014,5541.46599361845
THA,national,national,2015,5688.85335397884
THA,national,national,2016,5857.78052935926
THA,national,national,2017,6076.74307700082
THA,national,national,2018,6314.19948412043
THA,national,national,2019,6434.53770518034
THA,national,national,2020,6035.18627737077
THA,national,national,2021,6122.49238460162
THA,national,national,2022,6272.57590996341
THA,national,national,2023,6393.88744975198
THA,national,national,2024,6565.13530386875
THA,national,national,2025,6665.98825589326
THA,national,national,2026,6778.72098952726
THA,national,national,2027,6919.46678032245
THA,national,national,2028,7064.55171028101
THA,national,national,2029,7226.17395914469
THA,national,national,2030,7399.90183250294
TJK,national,national,1973,1725.04110500081
TJK,national,national,1980,1518.62818895889
TJK,national,national,1981,1485.85584377425
TJK,national,national,1982,1453.08349858962
TJK,national,national,1983,1466.03386079968
TJK,national,national,1984,1445.41899850612
TJK,national,national,1985,1417.66822234171
TJK,national,national,1986,1420.20197771086
TJK,national,national,1987,1355.73849750343
TJK,national,national,1988,1491.07389448452
TJK,national,national,1989,1353.85336651245
TJK,national,national,1990,1312.94701318034
TJK,national,national,1991,1188.37461269952
TJK,national,national,1992,827.586884623268
TJK,national,national,1993,682.727259317268
TJK,national,national,1994,528.04821736829
TJK,national,national,1995,452.904385394465
TJK,national,national,1996,369.934883507426
TJK,national,national,1997,371.661243144454
TJK,national,national,1998,389.089746664022
TJK,national,national,1999,401.406381787908
TJK,national,national,2000,429.537300984643
TJK,national,national,2001,461.681195760256
TJK,national,national,2002,501.80856647117
TJK,national,national,2003,546.391479808684
TJK,national,national,2004,590.957111385699
TJK,national,national,2005,618.333702588577
TJK,national,national,2006,649.163328755334
TJK,national,national,2007,686.48090192413
TJK,national,national,2008,726.185491338269
TJK,national,national,2009,739.212878526331
TJK,national,national,2010,770.604105393791
TJK,national,national,2011,809.368229154093
TJK,national,national,2012,849.519080831738
TJK,national,national,2013,889.882383099979
